code;description;médical_ou_chirurgical;mdc;type_d_hospitalisation;nombre_de_séjours
001;Transplantation hépatique;Chirurgical;p1;Classique;227
001;Transplantation hépatique;Chirurgical;p1;De jour;1
002;Transplantation du cœur et/ou du poumon;Chirurgical;p4;Classique;161
003;Transplantation de moelle osseuse;Chirurgical;p2;Classique;768
003;Transplantation de moelle osseuse;Chirurgical;p2;De jour;9
004;Trachéostomie excepté pour affections de la face, de la bouche et du cou;Chirurgical;p3;Classique;2552
004;Trachéostomie excepté pour affections de la face, de la bouche et du cou;Chirurgical;p3;De jour;1
005;Trachéostomie pour affections de la face, de la bouche et du cou;Chirurgical;p3;Classique;490
005;Trachéostomie pour affections de la face, de la bouche et du cou;Chirurgical;p3;De jour;1
020;Craniotomie pour traumatisme;Chirurgical;01;Classique;866
020;Craniotomie pour traumatisme;Chirurgical;01;De jour;5
021;Craniotomie excepté pour traumatisme;Chirurgical;01;Classique;4816
021;Craniotomie excepté pour traumatisme;Chirurgical;01;De jour;19
022;Interventions sur shunt ventriculaire;Chirurgical;01;Classique;792
022;Interventions sur shunt ventriculaire;Chirurgical;01;De jour;4
023;Interventions sur la colonne vertébrale et la moelle épinière;Chirurgical;01;Classique;1350
023;Interventions sur la colonne vertébrale et la moelle épinière;Chirurgical;01;De jour;75
024;Interventions vasculaires extracrâniennes;Chirurgical;01;Classique;4343
024;Interventions vasculaires extracrâniennes;Chirurgical;01;De jour;28
025;Interventions sur le système nerveux pour affections des nerfs périphériques;Chirurgical;01;Classique;2487
025;Interventions sur le système nerveux pour affections des nerfs périphériques;Chirurgical;01;De jour;31595
026;Interventions sur le système nerveux pour affections des nerfs crâniens et autres affections du système nerveux;Chirurgical;01;Classique;1408
026;Interventions sur le système nerveux pour affections des nerfs crâniens et autres affections du système nerveux;Chirurgical;01;De jour;77
040;Affections et traumatismes de la colonne vertébrale et de la moelle épinière;Médical;01;Classique;635
040;Affections et traumatismes de la colonne vertébrale et de la moelle épinière;Médical;01;De jour;486
041;Néoplasmes du système nerveux;Médical;01;Classique;3225
041;Néoplasmes du système nerveux;Médical;01;De jour;155
042;Maladies dégénératives du système nerveux;Médical;01;Classique;12843
042;Maladies dégénératives du système nerveux;Médical;01;De jour;138
043;Sclérose en plaques et ataxie cérébelleuse;Médical;01;Classique;2866
043;Sclérose en plaques et ataxie cérébelleuse;Médical;01;De jour;561
044;Hémorragie intracrânienne;Médical;01;Classique;3342
044;Hémorragie intracrânienne;Médical;01;De jour;43
045;Accident vasculaire cérébral avec infarctus;Médical;01;Classique;15302
045;Accident vasculaire cérébral avec infarctus;Médical;01;De jour;9
046;Accident vasculaire non spécifique avec occlusion précérébrale sans infarctus;Médical;01;Classique;1382
