code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
001;Levertransplantatie;Chirurgisch;p1;Klass. hosp;241
002;Hart en/of longtransplantatie;Chirurgisch;p4;Klass. hosp;176
003;Beenmergtransplantatie;Chirurgisch;p2;Klass. hosp;823
003;Beenmergtransplantatie;Chirurgisch;p2;Daghosp.;13
004;Tracheostomie behalve voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Klass. hosp;2421
004;Tracheostomie behalve voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Daghosp.;2
005;Tracheostomie voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Klass. hosp;491
005;Tracheostomie voor aandoeningen van gelaat, mond en hals;Chirurgisch;p3;Daghosp.;5
020;Craniotomie na trauma;Chirurgisch;01;Klass. hosp;893
020;Craniotomie na trauma;Chirurgisch;01;Daghosp.;6
021;Craniotomie behalve na trauma;Chirurgisch;01;Klass. hosp;4883
021;Craniotomie behalve na trauma;Chirurgisch;01;Daghosp.;28
022;Ingrepen op ventriculaire shunt;Chirurgisch;01;Klass. hosp;812
022;Ingrepen op ventriculaire shunt;Chirurgisch;01;Daghosp.;5
023;Ingrepen op de wervelzuil en het ruggemerg;Chirurgisch;01;Klass. hosp;1344
023;Ingrepen op de wervelzuil en het ruggemerg;Chirurgisch;01;Daghosp.;69
024;Ingrepen op extracraniale bloedvaten;Chirurgisch;01;Klass. hosp;4230
024;Ingrepen op extracraniale bloedvaten;Chirurgisch;01;Daghosp.;48
025;Ingrepen op neurologisch systeem voor perifere zenuwaandoeningen;Chirurgisch;01;Klass. hosp;2520
025;Ingrepen op neurologisch systeem voor perifere zenuwaandoeningen;Chirurgisch;01;Daghosp.;33267
026;Ingrepen op neurologisch systeem voor craniale zenuwen en overige neurologisch systeem aandoening;Chirurgisch;01;Klass. hosp;1332
026;Ingrepen op neurologisch systeem voor craniale zenuwen en overige neurologisch systeem aandoening;Chirurgisch;01;Daghosp.;82
040;Aandoeningen en letsels van de wervelzuil en het ruggemerg;Medisch;01;Klass. hosp;655
040;Aandoeningen en letsels van de wervelzuil en het ruggemerg;Medisch;01;Daghosp.;603
041;Nieuwvormingen van het zenuwstelsel;Medisch;01;Klass. hosp;3206
041;Nieuwvormingen van het zenuwstelsel;Medisch;01;Daghosp.;388
042;Degeneratieve aandoeningen van het zenuwstelsel;Medisch;01;Klass. hosp;13135
042;Degeneratieve aandoeningen van het zenuwstelsel;Medisch;01;Daghosp.;135
043;Multipel sclerose en cerebellaire ataxie;Medisch;01;Klass. hosp;2675
043;Multipel sclerose en cerebellaire ataxie;Medisch;01;Daghosp.;498
044;Intracraniale hemorragie;Medisch;01;Klass. hosp;3283
044;Intracraniale hemorragie;Medisch;01;Daghosp.;47
045;CVA met herseninfarct;Medisch;01;Klass. hosp;15348
045;CVA met herseninfarct;Medisch;01;Daghosp.;8
046;Niet gespecificeerde CVA en precerebrale occlusie zonder herseninfarct;Medisch;01;Klass. hosp;1263
046;Niet gespecificeerde CVA en precerebrale occlusie zonder herseninfarct;Medisch;01;Daghosp.;155
047;TIA;Medisch;01;Klass. hosp;7412
047;TIA;Medisch;01;Daghosp.;97
048;Aandoeningen van de craniale en perifere zenuwen;Medisch;01;Klass. hosp;5130
048;Aandoeningen van de craniale en perifere zenuwen;Medisch;01;Daghosp.;10736
049;Bacteriële en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Klass. hosp;667
049;Bacteriële en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Daghosp.;9
050;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Klass. hosp;691
050;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Daghosp.;97
051;Virale meningitis;Medisch;01;Klass. hosp;1383
051;Virale meningitis;Medisch;01;Daghosp.;1
052;Niet-traumatische stupor en coma;Medisch;01;Klass. hosp;2602
052;Niet-traumatische stupor en coma;Medisch;01;Daghosp.;33
053;Epileptisch insult;Medisch;01;Klass. hosp;15370
053;Epileptisch insult;Medisch;01;Daghosp.;354
054;Migraine en hoofdpijn;Medisch;01;Klass. hosp;5618
054;Migraine en hoofdpijn;Medisch;01;Daghosp.;514
055;Schedeltrauma met coma > 1 uur of met bloeding;Medisch;01;Klass. hosp;2605
055;Schedeltrauma met coma > 1 uur of met bloeding;Medisch;01;Daghosp.;17
056;Schedelbreuk en gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Klass. hosp;1762
056;Schedelbreuk en gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Daghosp.;20
057;Hersenschudding en niet gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Klass. hosp;9522
057;Hersenschudding en niet gespecificeerd intracraniaal letsel, met coma < 1 uur of geen coma;Medisch;01;Daghosp.;10
058;Andere aandoeningen van het zenuwstelsel;Medisch;01;Klass. hosp;16006
058;Andere aandoeningen van het zenuwstelsel;Medisch;01;Daghosp.;1093
070;Ingrepen op de orbita;Chirurgisch;02;Klass. hosp;607
070;Ingrepen op de orbita;Chirurgisch;02;Daghosp.;147
071;Intra-oculaire ingrepen behalve op lens;Chirurgisch;02;Klass. hosp;6026
071;Intra-oculaire ingrepen behalve op lens;Chirurgisch;02;Daghosp.;3087
072;Extra-oculaire ingrepen behalve op orbita;Chirurgisch;02;Klass. hosp;1741
072;Extra-oculaire ingrepen behalve op orbita;Chirurgisch;02;Daghosp.;18215
073;Ingrepen op de lens met of zonder vitrectomie;Chirurgisch;02;Klass. hosp;4810
073;Ingrepen op de lens met of zonder vitrectomie;Chirurgisch;02;Daghosp.;105316
080;Belangrijke acute ooginfecties;Medisch;02;Klass. hosp;386
081;Neurologische aandoeningen van het oog;Medisch;02;Klass. hosp;776
081;Neurologische aandoeningen van het oog;Medisch;02;Daghosp.;59
082;Overige aandoeningen van het oog;Medisch;02;Klass. hosp;2413
082;Overige aandoeningen van het oog;Medisch;02;Daghosp.;552
090;Majeure ingrepen op larynx en trachea, behalve tracheostomie;Chirurgisch;03;Klass. hosp;324
090;Majeure ingrepen op larynx en trachea, behalve tracheostomie;Chirurgisch;03;Daghosp.;45
091;Overige belangrijke ingrepen op hoofd en hals;Chirurgisch;03;Klass. hosp;624
091;Overige belangrijke ingrepen op hoofd en hals;Chirurgisch;03;Daghosp.;422
092;Ingrepen op faciaal bot, behalve majeure ingrepen op hoofd en hals;Chirurgisch;03;Klass. hosp;4093
092;Ingrepen op faciaal bot, behalve majeure ingrepen op hoofd en hals;Chirurgisch;03;Daghosp.;3300
093;Ingrepen op sinussen en mastoïd;Chirurgisch;03;Klass. hosp;7061
093;Ingrepen op sinussen en mastoïd;Chirurgisch;03;Daghosp.;4429
094;Ingrepen op de mond;Chirurgisch;03;Klass. hosp;1871
094;Ingrepen op de mond;Chirurgisch;03;Daghosp.;31811
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Klass. hosp;805
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Daghosp.;277
096;Ingrepen op de speekselklieren en sialoadenectomie;Chirurgisch;03;Klass. hosp;1095
096;Ingrepen op de speekselklieren en sialoadenectomie;Chirurgisch;03;Daghosp.;419
097;Adenoïd en amygdalectomie;Chirurgisch;03;Klass. hosp;7924
097;Adenoïd en amygdalectomie;Chirurgisch;03;Daghosp.;37482
098;Andere ingrepen op neus, keel, oren en mond;Chirurgisch;03;Klass. hosp;13131
098;Andere ingrepen op neus, keel, oren en mond;Chirurgisch;03;Daghosp.;33212
110;Maligne aandoeningen van neus, keel, oren en mond;Medisch;03;Klass. hosp;1816
110;Maligne aandoeningen van neus, keel, oren en mond;Medisch;03;Daghosp.;1196
111;Evenwichtsstoornissen;Medisch;03;Klass. hosp;4977
111;Evenwichtsstoornissen;Medisch;03;Daghosp.;39
112;Epistaxis;Medisch;03;Klass. hosp;1120
112;Epistaxis;Medisch;03;Daghosp.;233
113;Epiglottitis, otitis media, infectie bovenste luchtwegen en laryngotracheitis;Medisch;03;Klass. hosp;13598
113;Epiglottitis, otitis media, infectie bovenste luchtwegen en laryngotracheitis;Medisch;03;Daghosp.;906
114;Aandoeningen van tanden en mond;Medisch;03;Klass. hosp;4487
114;Aandoeningen van tanden en mond;Medisch;03;Daghosp.;89861
115;Andere aandoeningen van neus, keel, oren en mond;Medisch;03;Klass. hosp;33331
115;Andere aandoeningen van neus, keel, oren en mond;Medisch;03;Daghosp.;4849
120;Majeure ingrepen op het ademhalingsstelsel;Chirurgisch;04;Klass. hosp;1807
120;Majeure ingrepen op het ademhalingsstelsel;Chirurgisch;04;Daghosp.;13
121;Niet majeure ingrepen op het ademhalingsstelsel;Chirurgisch;04;Klass. hosp;4670
121;Niet majeure ingrepen op het ademhalingsstelsel;Chirurgisch;04;Daghosp.;753
122;Andere ingrepen op het ademhalingsstelsel;Chirurgisch;04;Klass. hosp;792
122;Andere ingrepen op het ademhalingsstelsel;Chirurgisch;04;Daghosp.;244
130;Ziekten van het ademhalingsstelsel met kunstmatige beademing 96+ uur;Medisch;04;Klass. hosp;1806
131;Mucoviscidose;Medisch;04;Klass. hosp;857
131;Mucoviscidose;Medisch;04;Daghosp.;16
132;Bronchopulmonale en andere chronische respiratoire aandoeningen, uit de perinatale periode;Medisch;04;Klass. hosp;110
132;Bronchopulmonale en andere chronische respiratoire aandoeningen, uit de perinatale periode;Medisch;04;Daghosp.;1
133;Longoedeem en respiratoire insufficiëntie;Medisch;04;Klass. hosp;1503
133;Longoedeem en respiratoire insufficiëntie;Medisch;04;Daghosp.;19
134;Longembolie;Medisch;04;Klass. hosp;4906
134;Longembolie;Medisch;04;Daghosp.;16
135;Majeur trauma van de thorax;Medisch;04;Klass. hosp;1908
135;Majeur trauma van de thorax;Medisch;04;Daghosp.;5
136;Nieuwvormingen van het ademhalingsstelsel;Medisch;04;Klass. hosp;9129
136;Nieuwvormingen van het ademhalingsstelsel;Medisch;04;Daghosp.;3935
137;Ontstekingen en infecties van het ademhalingsstelsel;Medisch;04;Klass. hosp;6970
137;Ontstekingen en infecties van het ademhalingsstelsel;Medisch;04;Daghosp.;217
138;RSV pneumonie en kinkhoest;Medisch;04;Klass. hosp;585
138;RSV pneumonie en kinkhoest;Medisch;04;Daghosp.;2
139;Gewone pneumonie;Medisch;04;Klass. hosp;34067
139;Gewone pneumonie;Medisch;04;Daghosp.;251
140;Chronische obstructieve longaandoeningen;Medisch;04;Klass. hosp;24850
140;Chronische obstructieve longaandoeningen;Medisch;04;Daghosp.;954
141;Bronchiolitis en astma;Medisch;04;Klass. hosp;15091
141;Bronchiolitis en astma;Medisch;04;Daghosp.;577
142;Interstitiële longaandoeningen;Medisch;04;Klass. hosp;1600
142;Interstitiële longaandoeningen;Medisch;04;Daghosp.;430
143;Pneumothorax en pleurale uitstorting;Medisch;04;Klass. hosp;3895
143;Pneumothorax en pleurale uitstorting;Medisch;04;Daghosp.;101
144;Respiratoire tekens en symptomen en andere aandoeningen van het ademhalingsstelsel;Medisch;04;Klass. hosp;26722
144;Respiratoire tekens en symptomen en andere aandoeningen van het ademhalingsstelsel;Medisch;04;Daghosp.;3388
160;Majeure cardiothoracale ingrepen voor hartafwijkingen;Chirurgisch;05;Klass. hosp;209
161;Implantatie van hartdefibrillator;Chirurgisch;05;Klass. hosp;1610
161;Implantatie van hartdefibrillator;Chirurgisch;05;Daghosp.;36
162;Ingrepen op hartkleppen, met hartkatheterisatie;Chirurgisch;05;Klass. hosp;935
163;Ingrepen op hartkleppen, zonder hartkatheterisatie;Chirurgisch;05;Klass. hosp;3696
164;Coronaire overbrugging, met complicaties van de coronaire overbrugging greffe;Chirurgisch;05;Klass. hosp;2
165;Coronaire overbrugging, zonder complicaties van de coronaire overbrugging, met hartkatheterisatie;Chirurgisch;05;Klass. hosp;2208
166;Coronaire overbrugging, zonder complicaties van de coronaire overbrugging, zonder hartkatheterisatie;Chirurgisch;05;Klass. hosp;3799
167;Andere cardiothoracale ingrepen;Chirurgisch;05;Klass. hosp;1309
167;Andere cardiothoracale ingrepen;Chirurgisch;05;Daghosp.;9
168;Majeure thoracovasculaire ingrepen;Chirurgisch;05;Klass. hosp;3759
168;Majeure thoracovasculaire ingrepen;Chirurgisch;05;Daghosp.;58
169;Majeure abdominale vasculaire ingrepen;Chirurgisch;05;Klass. hosp;759
169;Majeure abdominale vasculaire ingrepen;Chirurgisch;05;Daghosp.;2
170;Plaatsen van permanente pacemaker met AMI, hartdecompensatie of shock;Chirurgisch;05;Klass. hosp;471
171;Plaatsen van permanente pacemaker zonder AMI, hartdecompensatie of shock;Chirurgisch;05;Klass. hosp;7858
171;Plaatsen van permanente pacemaker zonder AMI, hartdecompensatie of shock;Chirurgisch;05;Daghosp.;61
172;Amputatie, wegens circulatoire aandoeningen, behalve van de bovenste ledematen en teen;Chirurgisch;05;Klass. hosp;752
172;Amputatie, wegens circulatoire aandoeningen, behalve van de bovenste ledematen en teen;Chirurgisch;05;Daghosp.;2
173;Andere vasculaire ingrepen;Chirurgisch;05;Klass. hosp;18941
173;Andere vasculaire ingrepen;Chirurgisch;05;Daghosp.;2816
174;Percutane cardiovasculaire ingrepen met hartinfarct;Chirurgisch;05;Klass. hosp;6889
174;Percutane cardiovasculaire ingrepen met hartinfarct;Chirurgisch;05;Daghosp.;279
175;Percutane cardiovasculaire ingrepen zonder hartinfarct;Chirurgisch;05;Klass. hosp;23990
175;Percutane cardiovasculaire ingrepen zonder hartinfarct;Chirurgisch;05;Daghosp.;2215
