gewest;drg_34;drg_beschrijving;mdc_34;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;1;Lever- en/of darmtransplantatie;PP;Chirurgisch;125;0
Vlaams Gewest;2;Hart- en/of longtransplantatie;PP;Chirurgisch;107;0
Vlaams Gewest;3;Beenmergtransplantatie;PP;Chirurgisch;540;0
Vlaams Gewest;4;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Chirurgisch;806;< 5
Vlaams Gewest;5;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Chirurgisch;183;0
Vlaams Gewest;6;Pancreastransplantatie;PP;Chirurgisch;5;0
Vlaams Gewest;20;Craniotomie voor trauma;1;Chirurgisch;436;< 5
Vlaams Gewest;21;Craniotomie behalve voor trauma;1;Chirurgisch;2.681;17
Vlaams Gewest;22;Procedures op een ventriculaire shunt;1;Chirurgisch;301;0
Vlaams Gewest;23;Spinale procedures;1;Chirurgisch;1.055;89
Vlaams Gewest;24;Extracraniale vasculaire procedures;1;Chirurgisch;2.874;45
Vlaams Gewest;26;Andere procedures op het zenuwstelsel en gerelateerde procedures;1;Chirurgisch;1.953;21.786
Vlaams Gewest;40;Spinale stoornissen en letsels;1;Medisch;359;34
Vlaams Gewest;41;Maligniteit van het zenuwstelsel;1;Medisch;1.864;233
Vlaams Gewest;42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;1;Medisch;7.887;95
Vlaams Gewest;43;Multipele sclerose en andere demyeliniserende ziekten;1;Medisch;2.859;144
Vlaams Gewest;44;Intracraniële hemorragie;1;Medisch;2.063;21
Vlaams Gewest;45;CVA en precerebrale occlusie met infarct;1;Medisch;9.377;29
Vlaams Gewest;46;Niet specifieke CVA en precerebrale occlusie zonder infarct;1;Medisch;328;42
Vlaams Gewest;47;Transitoire cerebrale ischemie (TIA);1;Medisch;5.042;27
Vlaams Gewest;48;Stoornissen van de perifere, craniale en autonome zenuwen;1;Medisch;2.607;3.289
Vlaams Gewest;49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;1;Medisch;441;< 5
Vlaams Gewest;50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;1;Medisch;586;38
Vlaams Gewest;51;Virale meningitis;1;Medisch;820;0
Vlaams Gewest;52;Niet-traumatische stupor en coma;1;Medisch;1.537;18
Vlaams Gewest;53;Epileptisch insult;1;Medisch;9.299;183
Vlaams Gewest;54;Migraine en andere hoofdpijn;1;Medisch;4.479;188
Vlaams Gewest;55;Hoofdtrauma met coma > 1 uur of met hemorragie;1;Medisch;1.874;7
Vlaams Gewest;56;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;1;Medisch;170;0
Vlaams Gewest;57;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;1;Medisch;6.085;28
Vlaams Gewest;58;Andere stoornissen van het zenuwstelsel;1;Medisch;11.136;807
Vlaams Gewest;70;Procedures op de orbita;2;Chirurgisch;256;148
Vlaams Gewest;73;Procedures op het oog behalve op de orbita;2;Chirurgisch;6.168;85.268
Vlaams Gewest;80;Acute majeure ooginfecties;2;Medisch;416;10
Vlaams Gewest;82;Oogstoornissen behalve majeure infecties;2;Medisch;1.649;2.171
Vlaams Gewest;89;Majeure procedures op aangezichts- en schedelbeenderen;3;Chirurgisch;1.392;20.564
Vlaams Gewest;90;Majeure procedures op larynx en trachea;3;Chirurgisch;177;89
Vlaams Gewest;91;Andere majeure procedures op hoofd en hals;3;Chirurgisch;358;46
Vlaams Gewest;92;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;3;Chirurgisch;3.134;17.458
Vlaams Gewest;93;Procedures op sinussen en mastoïd;3;Chirurgisch;3.269;2.578
Vlaams Gewest;95;Palatoplastie en herstel van hazelip;3;Chirurgisch;94;21
Vlaams Gewest;97;Procedures op tonsillen en adenoïden;3;Chirurgisch;5.127;18.814
Vlaams Gewest;98;Andere procedures op oren, neus, mond en keel;3;Chirurgisch;7.435;27.949
Vlaams Gewest;110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;3;Medisch;752;740
Vlaams Gewest;111;Vertigo en andere labyrintstoornissen;3;Medisch;4.253;27
Vlaams Gewest;113;Infecties bovenste luchtwegen;3;Medisch;13.036;688
Vlaams Gewest;114;Dentale en orale ziekten en letsels;3;Medisch;2.541;86.283
