drg_34;drg_beschrijving;mdc_34;mdc_beschrijving;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
1;Lever- en/of darmtransplantatie;PP;Pre-MDC;Chirurgisch;294;0
2;Hart- en/of longtransplantatie;PP;Pre-MDC;Chirurgisch;195;0
3;Beenmergtransplantatie;PP;Pre-MDC;Chirurgisch;972;< 5
4;Extracorporele membraanoxygenatie of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;Pre-MDC;Chirurgisch;1.537;< 5
5;Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;Pre-MDC;Chirurgisch;348;0
6;Pancreastransplantatie;PP;Pre-MDC;Chirurgisch;11;0
20;Craniotomie voor trauma;1;Zenuwstelsel;Chirurgisch;872;5
21;Craniotomie behalve voor trauma;1;Zenuwstelsel;Chirurgisch;4.939;22
22;Procedures op een ventriculaire shunt;1;Zenuwstelsel;Chirurgisch;609;0
23;Spinale procedures;1;Zenuwstelsel;Chirurgisch;1.585;108
24;Extracraniale vasculaire procedures;1;Zenuwstelsel;Chirurgisch;5.169;63
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;1;Zenuwstelsel;Chirurgisch;3.365;37.421
40;Spinale stoornissen en letsels;1;Zenuwstelsel;Medisch;567;76
41;Maligniteit van het zenuwstelsel;1;Zenuwstelsel;Medisch;3.154;416
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;1;Zenuwstelsel;Medisch;12.976;164
43;Multipele sclerose en andere demyeliniserende ziekten;1;Zenuwstelsel;Medisch;4.180;279
44;Intracraniële hemorragie;1;Zenuwstelsel;Medisch;3.508;48
45;CVA en precerebrale occlusie met infarct;1;Zenuwstelsel;Medisch;15.357;37
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;1;Zenuwstelsel;Medisch;609;94
47;Transitoire cerebrale ischemie (TIA);1;Zenuwstelsel;Medisch;7.684;44
48;Stoornissen van de perifere, craniale en autonome zenuwen;1;Zenuwstelsel;Medisch;4.308;5.485
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;1;Zenuwstelsel;Medisch;732;20
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;1;Zenuwstelsel;Medisch;959;51
51;Virale meningitis;1;Zenuwstelsel;Medisch;1.299;< 5
52;Niet-traumatische stupor en coma;1;Zenuwstelsel;Medisch;2.577;37
53;Epileptisch insult;1;Zenuwstelsel;Medisch;16.694;387
54;Migraine en andere hoofdpijn;1;Zenuwstelsel;Medisch;6.580;272
55;Hoofdtrauma met coma > 1 uur of met hemorragie;1;Zenuwstelsel;Medisch;3.525;13
56;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;1;Zenuwstelsel;Medisch;317;< 5
57;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;1;Zenuwstelsel;Medisch;9.192;48
58;Andere stoornissen van het zenuwstelsel;1;Zenuwstelsel;Medisch;20.019;1.463
70;Procedures op de orbita;2;Oogaandoeningen;Chirurgisch;552;299
73;Procedures op het oog behalve op de orbita;2;Oogaandoeningen;Chirurgisch;10.854;141.622
80;Acute majeure ooginfecties;2;Oogaandoeningen;Medisch;658;11
82;Oogstoornissen behalve majeure infecties;2;Oogaandoeningen;Medisch;2.951;3.131
89;Majeure procedures op aangezichts- en schedelbeenderen;3;Neus, keel en oren;Chirurgisch;2.067;23.410
90;Majeure procedures op larynx en trachea;3;Neus, keel en oren;Chirurgisch;335;156
91;Andere majeure procedures op hoofd en hals;3;Neus, keel en oren;Chirurgisch;726;58
92;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;3;Neus, keel en oren;Chirurgisch;5.031;20.676
93;Procedures op sinussen en mastoïd;3;Neus, keel en oren;Chirurgisch;4.973;3.584
95;Palatoplastie en herstel van hazelip;3;Neus, keel en oren;Chirurgisch;171;30
97;Procedures op tonsillen en adenoïden;3;Neus, keel en oren;Chirurgisch;7.784;33.869
98;Andere procedures op oren, neus, mond en keel;3;Neus, keel en oren;Chirurgisch;13.403;37.716
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;3;Neus, keel en oren;Medisch;1.735;1.418
111;Vertigo en andere labyrintstoornissen;3;Neus, keel en oren;Medisch;5.869;45
113;Infecties bovenste luchtwegen;3;Neus, keel en oren;Medisch;20.529;944
114;Dentale en orale ziekten en letsels;3;Neus, keel en oren;Medisch;4.362;117.270
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;3;Neus, keel en oren;Medisch;59.756;7.401
120;Majeure thoracale en respiratoire procedures;4;Ademhalingsstelsel;Chirurgisch;3.585;249
121;Andere respiratoire en thoracale procedures;4;Ademhalingsstelsel;Chirurgisch;3.784;418
130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;4;Ademhalingsstelsel;Medisch;971;0
131;Mucoviscidose (cystic fibrosis) - longziekte;4;Ademhalingsstelsel;Medisch;861;47
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;4;Ademhalingsstelsel;Medisch;133;5
133;Respiratoire insufficiëntie;4;Ademhalingsstelsel;Medisch;1.109;8
134;Longembolie;4;Ademhalingsstelsel;Medisch;5.449;20
135;Majeur thoracaal en respiratoir trauma;4;Ademhalingsstelsel;Medisch;3.897;12
136;Maligne respiratoire aandoening;4;Ademhalingsstelsel;Medisch;8.135;4.657
137;Majeure respiratoire infecties en inflammaties;4;Ademhalingsstelsel;Medisch;8.613;223
138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;4;Ademhalingsstelsel;Medisch;12.080;34
139;Andere pneumonie;4;Ademhalingsstelsel;Medisch;30.789;159
140;Chronische obstructieve longaandoeningen;4;Ademhalingsstelsel;Medisch;30.420;1.079
141;Astma;4;Ademhalingsstelsel;Medisch;5.599;137
142;Interstitiële en alveolaire longziekte;4;Ademhalingsstelsel;Medisch;2.048;395
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;4;Ademhalingsstelsel;Medisch;6.116;1.296
144;Respiratoire tekens, symptomen en mineure diagnosen;4;Ademhalingsstelsel;Medisch;24.916;4.256
160;Majeur cardiothoracaal herstel van hartanomalie;5;Hart en vaatstelsel;Chirurgisch;106;< 5
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;5;Hart en vaatstelsel;Chirurgisch;1.634;18
162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;508;0
163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;3.607;< 5
165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;1.084;0
166;Coronaire overbrugging zonder acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;4.749;0
167;Andere cardiothoracale procedures en thoracovasculaire procedures;5;Hart en vaatstelsel;Chirurgisch;3.371;124
169;Majeure abdominale vasculaire procedures;5;Hart en vaatstelsel;Chirurgisch;2.240;21
170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;5;Hart en vaatstelsel;Chirurgisch;330;0
