drg_36;drg_beschrijving;mdc_36;mdc_beschrijving;soort_drg;klassieke_hospitalisatie;daghospitalisatie
001;001 Lever- en/of darmtransplantatie;PP;PP pre-MDC;Chirurgisch;262;0
002;002 Hart- en/of longtransplantatie;PP;PP pre-MDC;Chirurgisch;145;0
004;004 ECMO of tracheostomie met langdurige mechanische ventilatie met extensieve procedure;PP;PP pre-MDC;Chirurgisch;892;0
005;005 Tracheostomie met langdurige mechanische ventilatie zonder extensieve procedure;PP;PP pre-MDC;Chirurgisch;1 166;0
006;006 Pancreastransplantatie;PP;PP pre-MDC;Chirurgisch;7;0
007;007 Allogene beenmergtransplantatie;PP;PP pre-MDC;Chirurgisch;402;8
008;008 Autologe beenmergtransplantatie;PP;PP pre-MDC;Chirurgisch;548;0
009;009 Extracorporele membraanoxygenatie (ECMO);PP;PP pre-MDC;Chirurgisch;81;0
010;010 Hoofdtrauma met diepe coma;PP;PP pre-MDC;Medisch;46;0
020;020 Craniotomie voor trauma;01;01 Zenuwstelsel;Chirurgisch;736;5
021;021 Craniotomie behalve voor trauma;01;01 Zenuwstelsel;Chirurgisch;5 115;27
022;022 Procedures op ventriculaire shunt;01;01 Zenuwstelsel;Chirurgisch;512;< 5
023;023 Spinale procedures;01;01 Zenuwstelsel;Chirurgisch;1 193;103
024;024 Extracraniële vasculaire procedures;01;01 Zenuwstelsel;Chirurgisch;5 272;85
026;026 Andere procedures op zenuwstelsel en gerelateerde procedures;01;01 Zenuwstelsel;Chirurgisch;2 532;37 728
040;040 Spinale stoornissen en letsels;01;01 Zenuwstelsel;Medisch;438;99
041;041 Maligne aandoening van zenuwstelsel;01;01 Zenuwstelsel;Medisch;2 709;514
042;042 Degeneratieve stoornissen van zenuwstelsel met uitzondering van multipele sclerose;01;01 Zenuwstelsel;Medisch;12 927;367
043;043 Multipele sclerose en andere demyeliniserende ziekten;01;01 Zenuwstelsel;Medisch;2 711;492
044;044 Intracraniële hemorragie;01;01 Zenuwstelsel;Medisch;3 224;50
045;045 CVA en precerebrale occlusie met infarct;01;01 Zenuwstelsel;Medisch;14 936;99
046;046 Niet gespecifieerde CVA en precerebrale occlusie zonder infarct;01;01 Zenuwstelsel;Medisch;585;153
047;047 Transitoire cerebrale ischemie (TIA);01;01 Zenuwstelsel;Medisch;6 877;64
048;048 Stoornissen van perifere, craniale en autonome zenuwen;01;01 Zenuwstelsel;Medisch;3 245;4 023
